Date,Open,High,Low,Close,Volume,ticker,company
,BAC,BAC,BAC,BAC,BAC,,
2017-05-08,19.758884376139356,20.01678937000127,19.758884376139356,19.93359375,56016500,BAC,Bank of America
2017-05-09,19.99183015211888,20.224775964792727,19.858717805784014,19.950231552124023,61622000,BAC,Bank of America
2017-05-10,19.891992955262374,20.108300891451837,19.858715665677007,20.09166145324707,48495300,BAC,Bank of America
2017-05-11,20.050069408237118,20.15822260969462,19.83376141849756,20.025110244750977,68350800,BAC,Bank of America
2017-05-12,19.90031698852181,19.966873168945312,19.7588849067688,19.966873168945312,62589000,BAC,Bank of America
2017-05-15,20.01679229736328,20.083348485732934,19.95023610899363,20.01679229736328,50688800,BAC,Bank of America
2017-05-16,20.025109494186204,20.10830511586385,19.916956296782413,19.958553314208984,55774800,BAC,Bank of America
2017-05-17,19.44275099693932,19.50930720320953,18.68567196873115,18.77718734741211,190353300,BAC,Bank of America
2017-05-18,18.81046022829607,19.13492143174615,18.718944878882102,18.91861343383789,108444100,BAC,Bank of America
2017-05-19,19.06004646118371,19.3845076805657,19.026769160469385,19.1765193939209,89566700,BAC,Bank of America
2017-05-22,19.292986423312026,19.334583429761786,18.985163180381942,19.168193817138672,74839400,BAC,Bank of America
2017-05-23,19.15988096606093,19.550898362044954,19.001809428610088,19.459383010864258,79020000,BAC,Bank of America
2017-05-24,19.50097579836235,19.525933368998867,19.317945150632276,19.434419631958008,58823200,BAC,Bank of America
2017-05-25,19.476019302906934,19.617451374200286,19.317947791032154,19.342906951904297,60443500,BAC,Bank of America
2017-05-26,19.32626547040721,19.484336965589133,19.27634874075869,19.334585189819336,50399500,BAC,Bank of America
2017-05-30,19.243072425931093,19.309628603267917,19.035084173400463,19.060043334960938,61307900,BAC,Bank of America
2017-05-31,19.014137548512206,19.03083004969309,18.438204068808243,18.705303192138672,138636300,BAC,Bank of America
2017-06-01,18.763730668427197,18.897280228256573,18.613487015610062,18.888933181762695,69725100,BAC,Bank of America
2017-06-02,18.58844578340757,18.85554487885789,18.49662987233295,18.738689422607422,79722300,BAC,Bank of America
2017-06-05,18.730344331964535,18.947362767679596,18.688609098921432,18.705303192138672,51590300,BAC,Bank of America
2017-06-06,18.530017980559887,18.70530116422876,18.421507978448144,18.555057525634766,71735600,BAC,Bank of America
2017-06-07,18.613485009838744,18.880585692751318,18.58844546509168,18.8638916015625,66429700,BAC,Bank of America
2017-06-08,18.88058514302404,19.37304808246627,18.863891052321286,19.1727237701416,93685900,BAC,Bank of America
2017-06-09,19.381394711614337,19.757003784179688,19.37304766644221,19.757003784179688,108254300,BAC,Bank of America
2017-06-12,19.882210142505585,20.06584198791563,19.80708831338991,19.84882354736328,85829900,BAC,Bank of America
2017-06-13,19.99071872988959,20.124268284985646,19.74865916625532,19.84047508239746,68047300,BAC,Bank of America
2017-06-14,19.656843734375745,19.87386216476233,19.36470507042872,19.832128524780273,102352400,BAC,Bank of America
2017-06-15,19.65684398963198,19.99071948196927,19.590069209571787,19.64849853515625,69707500,BAC,Bank of America
2017-06-16,19.66518525329968,19.71526751764463,19.506596192314944,19.556676864624023,57745800,BAC,Bank of America
2017-06-19,19.706927567365977,20.032454442606674,19.69858052030385,19.957332611083984,58587800,BAC,Bank of America
2017-06-20,19.957329901198612,20.024104676592234,19.598414886444317,19.606761932373047,59693500,BAC,Bank of America
2017-06-21,19.61511455513215,19.6735423012088,19.25619943833365,19.3062801361084,72432800,BAC,Bank of America
2017-06-22,19.297928220250643,19.364702992277692,19.114296403149154,19.13933753967285,64763300,BAC,Bank of America
2017-06-23,19.289581134299652,19.289581134299652,18.980746819299476,19.047521591186523,85399600,BAC,Bank of America
2017-06-26,19.122645401925105,19.314622692107722,18.972401751508688,19.1059513092041,61307800,BAC,Bank of America
2017-06-27,19.28123534424539,19.698578093722404,19.197766475942736,19.423131942749023,88257800,BAC,Bank of America
2017-06-28,19.640150470932547,19.999063900135216,19.640150470932547,19.932289123535156,119049300,BAC,Bank of America
2017-06-29,20.516567502419324,20.591689317371678,20.065838204741297,20.299549102783203,150501200,BAC,Bank of America
2017-06-30,20.549953165374358,20.549953165374358,20.174344136634925,20.249465942382812,84005200,BAC,Bank of America
2017-07-03,20.416410479039698,20.792019662847277,20.39971797578779,20.60004234313965,58129700,BAC,Bank of America
2017-07-05,20.7001986780555,20.825402770121144,20.54995663324182,20.80036163330078,76172500,BAC,Bank of America
2017-07-06,20.783666972052263,20.958951740914923,20.608383795225727,20.625076293945312,84465400,BAC,Bank of America
2017-07-07,20.800366357581687,20.867141145566038,20.57500085112081,20.725244522094727,54478800,BAC,Bank of America
2017-07-10,20.633427253528513,20.85879274537448,20.566652469874494,20.77532386779785,54632800,BAC,Bank of America
2017-07-11,20.76697122930288,20.79201236344444,20.416403311501043,20.533260345458984,69410600,BAC,Bank of America
2017-07-12,20.38302223443529,20.533265895825153,20.28285926282991,20.324594497680664,68708700,BAC,Bank of America
2017-07-13,20.39136469534932,20.55830082109881,20.34128401682808,20.549955368041992,55533400,BAC,Bank of America
2017-07-14,20.199389607690755,20.299550975510176,19.882208228178023,20.207735061645508,92625400,BAC,Bank of America
2017-07-17,20.216086648123554,20.216086648123554,19.974028628164067,20.049150466918945,81522000,BAC,Bank of America
2017-07-18,19.95733119258701,20.082533705547057,19.70692616666691,19.948984146118164,107981400,BAC,Bank of America
2017-07-19,20.07418964967533,20.199393773324267,19.873865280688214,20.082536697387695,74140100,BAC,Bank of America
2017-07-20,20.0491470634894,20.132615935940798,19.89055636503538,19.982372283935547,62793500,BAC,Bank of America
2017-07-21,19.898904850807774,19.999066231365244,19.748661187935127,19.865516662597656,65922500,BAC,Bank of America
2017-07-24,19.815435995100728,20.057495583793052,19.8070889480386,19.957332611083984,51382700,BAC,Bank of America
2017-07-25,20.241122472353965,20.591690430401954,20.232775426681847,20.4330997467041,86154700,BAC,Bank of America
2017-07-26,20.59169121704993,20.59169121704993,20.149307331744804,20.207735061645508,65704700,BAC,Bank of America
2017-07-27,20.249473921055593,20.40806463923728,20.057496604962058,20.124271392822266,62902100,BAC,Bank of America
2017-07-28,20.074185709950996,20.207735263065537,19.999063887319533,20.057493209838867,50143400,BAC,Bank of America
2017-07-31,20.132614135742188,20.282856182276916,20.107572998634975,20.132614135742188,62272000,BAC,Bank of America
2017-08-01,20.274514317741858,20.44145048523356,20.25782022338175,20.408063888549805,52782500,BAC,Bank of America
2017-08-02,20.399715089662212,20.524917602539062,20.24947143739546,20.524917602539062,55317100,BAC,Bank of America
2017-08-03,20.491529675039693,20.533264907882383,20.299552380072345,20.34128761291504,53210600,BAC,Bank of America
2017-08-04,20.60003836197899,20.933912243040997,20.574997223885745,20.84209632873535,105206600,BAC,Bank of America
2017-08-07,20.875486913421515,20.90887350934886,20.783670988557564,20.833751678466797,41860900,BAC,Bank of America
2017-08-08,20.82540757041766,21.159281511466915,20.71689754455382,20.783672332763672,73399300,BAC,Bank of America
2017-08-09,20.533258627304367,20.675155191494444,20.416401603124633,20.650114059448242,56910400,BAC,Bank of America
2017-08-10,20.516568685835686,20.516568685835686,20.107572998634975,20.132614135742188,78023700,BAC,Bank of America
2017-08-11,20.09088111858435,20.232777727071067,19.865515635922556,19.915597915649414,68157400,BAC,Bank of America
2017-08-14,20.224431599414505,20.441450045316113,20.17435090944842,20.38302230834961,54989500,BAC,Bank of America
2017-08-15,20.658467626555936,20.741936501030104,20.408062595169802,20.424755096435547,45143200,BAC,Bank of America
2017-08-16,20.48318604893977,20.549960835412385,20.09922983269487,20.1910457611084,59188900,BAC,Bank of America
2017-08-17,20.09087329402721,20.174342135694655,19.71526589457733,19.731958389282227,78969300,BAC,Bank of America
2017-08-18,19.66519062541601,19.948983832753587,19.573376299773596,19.715272903442383,60461200,BAC,Bank of America
2017-08-21,19.681887565416393,19.7319682586515,19.314625433607016,19.514949798583984,70124800,BAC,Bank of America
2017-08-22,19.69857904352199,19.940637022031034,19.673537904212917,19.89055633544922,59228600,BAC,Bank of America
2017-08-23,19.70692601279779,20.007411723148486,19.690231919990442,19.832128524780273,39825500,BAC,Bank of America
2017-08-24,19.974020888013502,19.982367932644653,19.765349548342716,19.89889907836914,39178700,BAC,Bank of America
2017-08-25,19.940636452701362,20.090880100193495,19.823780990001385,19.84047508239746,43511900,BAC,Bank of America
2017-08-28,19.898905269010495,19.948985960341744,19.673539769965164,19.798742294311523,37155000,BAC,Bank of America
2017-08-29,19.381397464886263,19.78204772988335,19.297930185379997,19.681884765625,60897200,BAC,Bank of America
2017-08-30,19.90839744076456,20.16847458639095,19.76577505774275,20.02585220336914,58412900,BAC,Bank of America
2017-08-31,20.160087836668033,20.168477578111386,19.950349101122846,20.042633056640625,62362400,BAC,Bank of America
2017-09-01,20.05101686130355,20.285924751626393,19.967121071889746,20.210418701171875,56233900,BAC,Bank of America
2017-09-05,19.992298726458817,19.992298726458817,19.488925377707815,19.556041717529297,108605400,BAC,Bank of America
2017-09-06,19.70705278322234,19.782558861333435,19.472144806856754,19.639936447143555,64188900,BAC,Bank of America
2017-09-07,19.614765303596077,19.63993452723257,19.086224408665856,19.270793914794922,103501200,BAC,Bank of America
2017-09-08,19.2372390075878,19.488924875386285,19.17012266949622,19.20368003845215,68365000,BAC,Bank of America
2017-09-11,19.480533347632264,19.639935236057326,19.363080166781995,19.59798812866211,73741000,BAC,Bank of America
2017-09-12,19.68188807084241,20.160093875274526,19.673499927066096,20.09297752380371,99658500,BAC,Bank of America
2017-09-13,20.067802283320606,20.4285531645293,20.02585517627848,20.411773681640625,86339800,BAC,Bank of America
2017-09-14,20.453724487110144,20.587958774312124,20.302713914345137,20.336271286010742,70051000,BAC,Bank of America
2017-09-15,20.311099587480175,20.478891225945812,20.260762736012346,20.45372200012207,85937600,BAC,Bank of America
2017-09-18,20.48728097567965,20.780915543016373,20.47889123373521,20.72218894958496,68076400,BAC,Bank of America
2017-09-19,20.72218595824452,20.965482038793734,20.65506963255721,20.85641860961914,56218100,BAC,Bank of America
2017-09-20,20.873201620937813,21.175225960849296,20.69702182277599,21.024213790893555,82289900,BAC,Bank of America
2017-09-21,21.01582295474054,21.2087838286339,20.906759504435367,21.108108520507812,57864000,BAC,Bank of America
2017-09-22,20.982264249874444,21.032601100643465,20.848031581037297,20.99065399169922,61446000,BAC,Bank of America
2017-09-25,20.923536020679684,21.040989196680307,20.621511739330078,20.772523880004883,62361700,BAC,Bank of America
2017-09-26,20.831255499573594,20.940318960748787,20.713802295203397,20.814476013183594,53012700,BAC,Bank of America
2017-09-27,21.233952378511237,21.51080748766743,21.12488892346538,21.317848205566406,92877400,BAC,Bank of America
2017-09-28,21.46886312492742,21.510810243739574,21.25912433050662,21.351409912109375,64991400,BAC,Bank of America
2017-09-29,21.317845625590813,21.37657221736815,21.23394980868907,21.259119033813477,66232600,BAC,Bank of America
2017-10-02,21.359793817470802,21.51919571765214,21.301067222714437,21.494028091430664,54001400,BAC,Bank of America
2017-10-03,21.60309368474375,21.754105857792094,21.494030226530974,21.69537925720215,55946900,BAC,Bank of America
2017-10-04,21.695378843686058,21.770884928771075,21.56114615913043,21.569534301757812,53402800,BAC,Bank of America
2017-10-05,21.6198713529624,22.005789895923975,21.527585788263014,21.921894073486328,62636900,BAC,Bank of America
2017-10-06,22.022568825378844,22.06451593545055,21.846389042862057,21.989009857177734,53900600,BAC,Bank of America
2017-10-09,22.03095253007304,22.039342269824196,21.61147514359072,21.686981201171875,55172500,BAC,Bank of America
2017-10-10,21.67020878956228,21.77088409923287,21.56953347989169,21.754104614257812,46133800,BAC,Bank of America
2017-10-11,21.754103798845776,21.754103798845776,21.519195818539327,21.670207977294922,51652300,BAC,Bank of America
2017-10-12,21.703771150743517,21.754108013354106,21.25912433050662,21.351409912109375,71770000,BAC,Bank of America
2017-10-13,21.292677580405933,21.812830393877462,21.074550684625294,21.670207977294922,104196900,BAC,Bank of America
2017-10-16,21.70376301180217,22.08968148073007,21.70376301180217,22.014175415039062,71927200,BAC,Bank of America
2017-10-17,22.123245669661657,22.173582525287273,21.90511716171094,21.980623245239258,48644400,BAC,Bank of America
2017-10-18,22.098077194984654,22.27425699576939,22.08968745206445,22.215530395507812,55382500,BAC,Bank of America
2017-10-19,21.98062479085153,22.307816775694878,21.93867607473065,22.299427032470703,54542700,BAC,Bank of America
2017-10-20,22.685343447451235,22.802796632698154,22.56788866202468,22.79440689086914,83764700,BAC,Bank of America
2017-10-23,22.83635331351503,23.012534686270126,22.727289873374897,22.7860164642334,69607700,BAC,Bank of America
2017-10-24,22.94541780819009,23.356505534603482,22.93702806681273,23.222272872924805,90346500,BAC,Bank of America
2017-10-25,23.398451108074102,23.423620330556915,22.937026563811983,23.180322647094727,81265300,BAC,Bank of America
2017-10-26,23.23066831573704,23.473964474673778,23.222278572300613,23.272615432739258,55342500,BAC,Bank of America
2017-10-27,23.222274751497288,23.457181128348015,23.171937899340655,23.322948455810547,58856700,BAC,Bank of America
2017-10-30,23.19710610773577,23.28939167248966,23.037704205028067,23.15515899658203,51357600,BAC,Bank of America
2017-10-31,23.1887159557918,23.255832292559862,22.937030092956483,22.97897720336914,50311200,BAC,Bank of America
2017-11-01,23.18871377911036,23.264219850909278,22.953807422562203,23.0964298248291,46527700,BAC,Bank of America
2017-11-02,23.079651418928485,23.44040231209172,22.886692159853144,23.381675720214844,59692000,BAC,Bank of America
2017-11-03,23.264221325149702,23.3397274017334,23.17193736502046,23.3397274017334,37816100,BAC,Bank of America
2017-11-06,23.272610395708515,23.33972672849363,23.171936696620637,23.2810001373291,37261000,BAC,Bank of America
2017-11-07,23.272609726135094,23.297778950272722,22.66856274844801,22.80279541015625,68342100,BAC,Bank of America
