Date,Open,High,Low,Close,Volume,ticker,company
,GS,GS,GS,GS,GS,,
2017-03-29,193.27274328189273,193.7614243285588,191.69717727123742,192.48074340820312,2636000,GS,Goldman Sachs
2017-03-30,193.34859291501087,195.47182495828943,193.2643455318306,194.81463623046875,3156800,GS,Goldman Sachs
2017-03-31,194.23324537782224,194.46073770586486,192.71665128471412,193.55078125,2858400,GS,Goldman Sachs
2017-04-03,193.78670871275096,193.87096894601828,190.05421436378904,192.91046142578125,3735600,GS,Goldman Sachs
2017-04-04,191.8657156361632,194.368093146245,191.4949911374388,193.16323852539062,3042700,GS,Goldman Sachs
2017-04-05,195.59823173881196,196.22172417794783,191.52028752083424,191.815185546875,5286900,GS,Goldman Sachs
2017-04-06,191.33491245824948,193.88784107921242,190.17220076612833,192.640869140625,2927200,GS,Goldman Sachs
2017-04-07,190.92208493390936,192.8009702923721,190.6103322837512,192.00054931640625,2853300,GS,Goldman Sachs
2017-04-10,192.10160117622473,193.60976159885985,191.21692017849404,192.85147094726562,2653900,GS,Goldman Sachs
2017-04-11,191.91624948095367,193.28117787121732,189.9025532759259,191.88255310058594,3374700,GS,Goldman Sachs
2017-04-12,191.8067131992244,192.31224889744686,189.76774150065887,190.20587158203125,2947500,GS,Goldman Sachs
2017-04-13,189.72564092541532,192.2448732151945,187.95629141874355,188.15850830078125,3653700,GS,Goldman Sachs
2017-04-17,188.6471535739071,191.15796467491,187.90571747622081,190.6355743408203,4190900,GS,Goldman Sachs
2017-04-18,184.7882778432998,185.26852519255047,179.61500274332167,181.6455535888672,12464000,GS,Goldman Sachs
2017-04-19,181.88142262590452,182.98516202916966,179.97726259751843,180.38168334960938,6428800,GS,Goldman Sachs
2017-04-20,181.56972572525783,184.50179936690208,181.14845025953798,183.72665405273438,5168200,GS,Goldman Sachs
2017-04-21,184.13953528544823,184.67033370678186,182.31120104239068,182.7156219482422,3845700,GS,Goldman Sachs
2017-04-24,186.35542278058634,189.41388700444463,185.61398664776306,188.07423400878906,5353500,GS,Goldman Sachs
2017-04-25,190.58503829479497,192.08477808300816,189.70035715187387,190.9473419189453,3996900,GS,Goldman Sachs
2017-04-26,191.34334085956462,193.24750152728888,190.49235610544102,190.5850372314453,3765300,GS,Goldman Sachs
2017-04-27,191.0063244034881,191.0063244034881,188.3270181802522,190.25645446777344,2805800,GS,Goldman Sachs
2017-04-28,189.83517470119614,191.06530488891593,188.49552161944936,188.56292724609375,2936600,GS,Goldman Sachs
2017-05-01,189.48971858416354,190.74512422778693,186.1447900181091,189.44760131835938,3004800,GS,Goldman Sachs
2017-05-02,189.45600547010537,190.28170179409966,188.04051320123662,189.67506408691406,2602400,GS,Goldman Sachs
2017-05-03,189.11058883947797,190.99790790196653,189.00106594049674,190.677734375,3042200,GS,Goldman Sachs
2017-05-04,192.32070930582682,192.8515206124266,189.4139105843846,190.9136505126953,2935400,GS,Goldman Sachs
2017-05-05,191.15800038954816,191.65510246007477,189.82676808993568,191.14956665039062,2435800,GS,Goldman Sachs
2017-05-08,191.04841648106543,191.54551842630747,189.23693718947868,189.59922790527344,2316800,GS,Goldman Sachs
2017-05-09,189.96998855061193,190.89679985925213,187.8299016584096,188.5292205810547,2145400,GS,Goldman Sachs
2017-05-10,188.27643385307323,189.8688545743486,187.93940577198177,189.4728546142578,2630400,GS,Goldman Sachs
2017-05-11,189.02631375377965,189.6497932385681,187.17269134952372,189.3717498779297,2440300,GS,Goldman Sachs
2017-05-12,188.30173604606333,189.14428708377324,187.45075126993882,187.7372283935547,2166100,GS,Goldman Sachs
2017-05-15,187.9983959391517,190.89677323874793,187.76248270372474,189.67506408691406,2468100,GS,Goldman Sachs
2017-05-16,189.94471755026672,191.10744215479622,189.07689096628897,190.07952880859375,1710700,GS,Goldman Sachs
2017-05-17,190.07951768376003,190.07951768376003,179.56447156323463,180.07000732421875,7525700,GS,Goldman Sachs
2017-05-18,180.30593233284583,183.3475422663579,180.18797569510477,181.28329467773438,4792400,GS,Goldman Sachs
