Date,Open,High,Low,Close,Volume,company,ticker
2017-03-27,32.37699433693767,32.80206040466192,32.19814058790224,32.723087310791016,94300400.0,Apple,AAPL
2017-03-28,32.7300582238792,33.45708072030946,32.66269610398687,33.401336669921875,133499200.0,Apple,AAPL
2017-03-29,33.37346388622697,33.56161070475659,33.25965074434842,33.47566604614258,116760000.0,Apple,AAPL
2017-03-30,33.491916468864304,33.563921546624066,33.33164527294501,33.431522369384766,84829200.0,Apple,AAPL
2017-03-31,33.38275238759844,33.5105050701291,33.21783464392153,33.36881637573242,78646800.0,Apple,AAPL
2017-04-03,33.380422565080316,33.47565313713689,33.227119384324254,33.37809753417969,79942800.0,Apple,AAPL
2017-04-04,33.273579357979905,33.65451234114574,33.25499682901389,33.62664031982422,79565600.0,Apple,AAPL
2017-04-05,33.498885272089936,33.78690913424964,33.40365114699018,33.452430725097656,110871600.0,Apple,AAPL
2017-04-06,33.5151480445809,33.56857414907437,33.32003678994606,33.36881637573242,84596000.0,Apple,AAPL
2017-04-07,33.385059322620876,33.489582910310546,33.27821424871721,33.294471740722656,66688800.0,Apple,AAPL
2017-04-10,33.35487025254387,33.41990731770657,33.1922740453829,33.25498962402344,75733600.0,Apple,AAPL
2017-04-11,33.2015629229824,33.29679702228051,32.532606285917886,32.897281646728516,121517600.0,Apple,AAPL
2017-04-12,32.89033590046666,33.01808507046793,32.75329014648711,32.936790466308594,81400000.0,Apple,AAPL
2017-04-13,32.96233868042032,33.071508851777054,32.76258087158203,32.76258087158203,71291600.0,Apple,AAPL
2017-04-17,32.862450350383064,32.955362998120115,32.72076166380729,32.943748474121094,66328400.0,Apple,AAPL
2017-04-18,32.84618099370557,32.99251260164665,32.776497419124475,32.797401428222656,58790000.0,Apple,AAPL
2017-04-19,32.95536250760022,32.98323452937892,32.62320555629877,32.67662811279297,69313600.0,Apple,AAPL
2017-04-20,32.80206039624806,33.196929409756486,32.78812438489267,33.0854377746582,93278400.0,Apple,AAPL
2017-04-21,33.08543839092253,33.141182437382405,32.94839621770171,33.04595184326172,69283600.0,Apple,AAPL
2017-04-24,33.33164772083257,33.436171342813466,33.2573176065542,33.364166259765625,68537200.0,Apple,AAPL
2017-04-25,33.42687456986138,33.656825779282094,33.41758153547327,33.570884704589844,75486000.0,Apple,AAPL
2017-04-26,33.55694379118434,33.58714083214964,33.30376357706283,33.373443603515625,80164800.0,Apple,AAPL
2017-04-27,33.42920294149219,33.48495052654035,33.28751426405114,33.39900588989258,56985200.0,Apple,AAPL
2017-04-28,33.4686915505015,33.5174711334607,33.2782268256127,33.36648941040039,83441600.0,Apple,AAPL
2017-05-01,33.703286421647626,34.191064436433955,33.67076788732854,34.047054290771484,134411600.0,Apple,AAPL
